id;start_date;end_date;language
1;2020-02-23T18:01:00;2020-02-23T15:51:15;SPANISH
2;2020-02-22T22:51:11;2020-02-23T17:55:36;SPANISH
3;2020-02-23T13:46:30;2020-02-23T00:20:39;FRENCH
4;2020-02-23T05:04:01;2020-02-23T16:35:27;FRENCH
5;2020-02-23T14:34:19;2020-02-23T19:21:18;FRENCH
6;2020-02-23T08:26:40;2020-02-23T20:34:54;FRENCH
7;2020-02-23T10:12:00;2020-02-23T04:02:51;FRENCH
8;2020-02-23T09:08:13;2020-02-23T19:24:21;SPANISH
9;2020-02-23T07:49:22;2020-02-23T04:30:45;SPANISH
10;2020-02-23T16:01:26;2020-02-23T02:35:56;SPANISH
